timestamp,temperature,heating,switch
2026-03-12 06:30:25,20.88,False,False
2026-03-12 06:30:35,20.88,False,False
2026-03-12 06:30:46,20.88,False,False
2026-03-12 06:30:57,20.88,False,False
2026-03-12 06:31:08,20.88,False,False
2026-03-12 06:31:18,20.88,False,False
2026-03-12 06:31:29,20.88,False,False
2026-03-12 06:31:40,20.88,False,False
2026-03-12 06:31:51,20.88,False,False
2026-03-12 06:32:01,20.88,False,False
2026-03-12 06:32:12,20.88,False,False
2026-03-12 06:32:23,20.88,False,False
2026-03-12 06:32:34,20.88,False,False
2026-03-12 06:32:44,20.88,False,False
2026-03-12 06:32:55,20.88,False,False
2026-03-12 06:33:06,20.88,False,False
2026-03-12 06:33:17,20.88,False,False
2026-03-12 06:33:27,20.88,False,False
2026-03-12 06:33:38,20.94,False,False
2026-03-12 06:33:49,20.94,False,False
2026-03-12 06:34:00,20.94,False,False
2026-03-12 06:34:10,20.94,False,False
2026-03-12 06:34:21,20.94,False,False
2026-03-12 06:34:32,20.94,False,False
2026-03-12 06:34:43,20.94,False,False
2026-03-12 06:34:53,20.94,False,False
2026-03-12 06:35:04,20.94,False,False
2026-03-12 06:35:15,20.94,False,False
2026-03-12 06:35:26,20.94,False,False
2026-03-12 06:35:36,20.94,False,False
2026-03-12 06:35:47,21.0,False,False
2026-03-12 06:35:58,21.0,False,False
2026-03-12 06:36:09,21.0,False,False
2026-03-12 06:36:19,21.0,False,False
2026-03-12 06:36:30,21.0,False,False
2026-03-12 06:36:41,21.06,False,False
2026-03-12 06:36:52,21.06,False,False
2026-03-12 06:37:02,21.06,False,False
2026-03-12 06:37:13,21.12,False,False
2026-03-12 06:37:24,21.12,False,False
2026-03-12 06:37:35,21.06,False,False
2026-03-12 06:37:46,21.06,False,False
2026-03-12 06:37:56,21.12,False,False
2026-03-12 06:38:07,21.12,False,False
2026-03-12 06:38:18,21.12,False,False
2026-03-12 06:38:29,21.12,False,False
2026-03-12 06:38:39,21.12,False,False
2026-03-12 06:38:50,21.12,False,False
2026-03-12 06:39:01,21.19,False,False
2026-03-12 06:39:12,21.12,False,False
2026-03-12 06:39:22,21.12,False,False
2026-03-12 06:39:33,21.12,False,False
2026-03-12 06:39:44,21.19,False,False
2026-03-12 06:39:55,21.12,False,False
2026-03-12 06:40:05,21.12,False,False
2026-03-12 06:40:16,21.19,False,False
2026-03-12 06:40:26,21.12,False,False
2026-03-12 06:40:37,21.12,False,False
2026-03-12 06:40:48,21.19,False,False
2026-03-12 06:40:59,21.19,False,False
2026-03-12 06:41:09,21.19,False,False
2026-03-12 06:41:20,21.19,False,False
2026-03-12 06:41:31,21.19,False,False
2026-03-12 06:41:42,21.19,False,False
2026-03-12 06:41:52,21.19,False,False
2026-03-12 06:42:03,21.19,False,False
2026-03-12 06:42:14,21.19,False,False
2026-03-12 06:42:25,21.19,False,False
2026-03-12 06:42:35,21.19,False,False
2026-03-12 06:42:46,21.19,False,False
2026-03-12 06:42:57,21.19,False,False
2026-03-12 06:43:08,21.19,False,False
2026-03-12 06:43:18,21.19,False,False
2026-03-12 06:43:29,21.19,False,False
2026-03-12 06:43:40,21.19,False,False
2026-03-12 06:43:51,21.12,False,False
2026-03-12 06:44:01,21.19,False,False
2026-03-12 06:44:12,21.19,False,False
2026-03-12 06:44:23,21.19,False,False
2026-03-12 06:44:34,21.19,False,False
2026-03-12 06:44:44,21.25,False,False
2026-03-12 06:44:55,21.25,False,False
2026-03-12 06:45:06,21.25,False,False
2026-03-12 06:45:17,21.25,False,False
2026-03-12 06:45:27,21.25,False,False
2026-03-12 06:45:38,21.31,False,False
2026-03-12 06:45:49,21.25,False,False
2026-03-12 06:46:00,21.25,False,False
2026-03-12 06:46:10,21.31,False,False
2026-03-12 06:46:21,21.25,False,False
2026-03-12 06:46:32,21.25,False,False
2026-03-12 06:46:43,21.25,False,False
2026-03-12 06:46:53,21.31,False,False
2026-03-12 06:47:04,21.31,False,False
2026-03-12 06:47:15,21.31,False,False
2026-03-12 06:47:26,21.31,False,False
2026-03-12 06:47:36,21.31,False,False
2026-03-12 06:47:47,21.31,False,False
2026-03-12 06:47:58,21.31,False,False
2026-03-12 06:48:09,21.38,False,False
2026-03-12 06:48:19,21.38,False,False
2026-03-12 06:48:30,21.38,False,False
2026-03-12 06:48:41,21.38,False,False
2026-03-12 06:48:52,21.38,False,False
2026-03-12 06:49:03,21.38,False,False
2026-03-12 06:49:13,21.38,False,False
2026-03-12 06:49:24,21.38,False,False
2026-03-12 06:49:35,21.38,False,False
2026-03-12 06:49:46,21.38,False,False
2026-03-12 06:49:56,21.38,False,False
2026-03-12 06:50:07,21.38,False,False
2026-03-12 06:50:18,21.38,False,False
2026-03-12 06:50:29,21.38,False,False
2026-03-12 06:50:39,21.44,False,False
2026-03-12 06:50:50,21.44,False,False
2026-03-12 06:51:01,21.5,False,False
2026-03-12 06:51:12,21.5,False,False
2026-03-12 06:51:22,21.5,False,False
2026-03-12 06:51:33,21.56,False,False
2026-03-12 06:51:44,21.56,False,False
2026-03-12 06:51:55,21.5,False,False
2026-03-12 06:52:05,21.5,False,False
2026-03-12 06:52:16,21.5,False,False
2026-03-12 06:52:27,21.5,False,False
2026-03-12 06:52:38,21.5,False,False
2026-03-12 06:52:48,21.5,False,False
2026-03-12 06:52:59,21.5,False,False
2026-03-12 06:53:10,21.5,False,False
2026-03-12 06:53:21,21.44,False,False
2026-03-12 06:53:32,21.44,False,False
2026-03-12 06:53:42,21.44,False,False
2026-03-12 06:53:53,21.44,False,False
2026-03-12 06:54:04,21.44,False,False
2026-03-12 06:54:15,21.44,False,False
2026-03-12 06:54:25,21.44,False,False
2026-03-12 06:54:36,21.44,False,False
2026-03-12 06:54:47,21.44,False,False
2026-03-12 06:54:58,21.44,False,False
2026-03-12 06:55:08,21.44,False,False
2026-03-12 06:55:19,21.44,False,False
2026-03-12 06:55:30,21.44,False,False
2026-03-12 06:55:41,21.44,False,False
2026-03-12 06:55:52,21.44,False,False
2026-03-12 06:56:02,21.5,False,False
2026-03-12 06:56:13,21.5,False,False
2026-03-12 06:56:24,21.5,False,False
2026-03-12 06:56:35,21.5,False,False
2026-03-12 06:56:45,21.5,False,False
2026-03-12 06:56:56,21.5,False,False
2026-03-12 06:57:07,21.5,False,False
2026-03-12 06:57:18,21.56,False,False
2026-03-12 06:57:28,21.56,False,False
2026-03-12 06:57:39,21.56,False,False
2026-03-12 06:57:50,21.56,False,False
2026-03-12 06:58:01,21.56,False,False
2026-03-12 06:58:11,21.56,False,False
2026-03-12 06:58:22,21.56,False,False
2026-03-12 06:58:33,21.56,False,False
2026-03-12 06:58:44,21.62,False,False
2026-03-12 06:58:54,21.62,False,False
2026-03-12 06:59:05,21.62,False,False
2026-03-12 06:59:16,21.62,False,False
2026-03-12 06:59:27,21.69,False,False
2026-03-12 06:59:37,21.62,False,False
2026-03-12 06:59:48,21.62,False,False
2026-03-12 06:59:59,21.62,False,False
2026-03-12 07:00:10,21.62,False,False
2026-03-12 07:00:20,21.62,False,False
2026-03-12 07:00:31,21.62,False,False
2026-03-12 07:00:42,21.62,False,False
2026-03-12 07:00:53,21.62,False,False
2026-03-12 07:01:03,21.62,False,False
2026-03-12 07:01:14,21.62,False,False
2026-03-12 07:01:25,21.62,False,False
2026-03-12 07:01:36,21.62,False,False
2026-03-12 07:01:46,21.62,False,False
2026-03-12 07:01:57,21.62,False,False
2026-03-12 07:02:08,21.62,False,False
2026-03-12 07:02:19,21.62,False,False
2026-03-12 07:02:29,21.62,False,False
2026-03-12 07:02:40,21.62,False,False
2026-03-12 07:02:51,21.62,False,False
2026-03-12 07:03:02,21.62,False,False
2026-03-12 07:03:12,21.62,False,False
2026-03-12 07:03:23,21.62,False,False
2026-03-12 07:03:34,21.62,False,False
2026-03-12 07:03:45,21.62,False,False
2026-03-12 07:03:55,21.62,False,False
2026-03-12 07:04:06,21.62,False,False
2026-03-12 07:04:17,21.62,False,False
2026-03-12 07:04:28,21.62,False,False
2026-03-12 07:04:38,21.62,False,False
2026-03-12 07:04:49,21.56,False,False
2026-03-12 07:05:00,21.56,False,False
2026-03-12 07:05:11,21.56,False,False
2026-03-12 07:05:21,21.62,False,False
2026-03-12 07:05:32,21.62,False,False
2026-03-12 07:05:43,21.62,False,False
2026-03-12 07:05:54,21.62,False,False
